8079_1_Y2,12-12-2013,09:45:03,SetA
Question# ,     Choice
8079_1_Y2,SetA, 85 ,34992.340,34992.340,0.109,  0.000,  1.499,  2.233,   2 , 14 , 2 , 0 ,"$10 in 30 days"," $3.50 now"
8079_1_Y2,SetA, 86 ,34994.960,34994.960,0.108,  3.358,  0.000,  4.030,   3 , 2 , 1 , 0 ," $9.50 now","$10 in 90 days"
8079_1_Y2,SetA, 87 ,34999.390,34999.390,0.108,  2.765,  0.000,  3.530,   2 , 18 , 1 , 0 ," $1.50 now","$10 in 30 days"
8079_1_Y2,SetA, 89 ,35003.310,35003.310,0.108,  1.968,  0.000,  2.749,   2 , 15 , 1 , 0 ," $3.00 now","$10 in 30 days"
8079_1_Y2,SetA, 90 ,35006.450,35006.450,0.109,  0.000,  2.140,  3.031,   1 , 10 , 2 , 0 ," $5.50 now","$10 in 7 days"
8079_1_Y2,SetA, 92 ,35009.870,35009.870,0.109,  1.218,  0.000,  1.952,   3 , 17 , 1 , 0 ," $2.00 now","$10 in 90 days"
8079_1_Y2,SetA, 94 ,35012.210,35012.210,0.108,  1.061,  0.000,  2.624,   1 , 7 , 1 , 0 ,"$10 in 7 days"," $7.00 now"
8079_1_Y2,SetA, 96 ,35015.230,35015.230,0.109,  0.000,  2.703,  4.437,   1 , 13 , 2 , 0 ," $4.00 now","$10 in 7 days"
8079_1_Y2,SetA, 97 ,35020.060,35020.060,0.108,  3.046,  0.000,  3.827,   2 , 17 , 1 , 0 ," $2.00 now","$10 in 30 days"
8079_1_Y2,SetA, 98 ,35024.280,35024.280,0.109,  1.531,  0.000,  2.234,   4 , 18 , 1 , 0 ," $1.50 now","$10 in 180 days"
8079_1_Y2,SetA, 99 ,35026.900,35026.900,0.109,  1.624,  0.000,  2.312,   1 , 8 , 1 , 0 ,"$10 in 7 days"," $6.50 now"
8079_1_Y2,SetA, 100 ,35029.610,35029.610,0.109,  0.000,  2.359,  2.968,   4 , 20 , 2 , 0 ,"$10 in 180 days"," $0.50 now"
8079_1_Y2,SetA, 101 ,35032.960,35032.960,0.108,  1.593,  0.000,  2.249,   3 , 6 , 1 , 0 ," $7.50 now","$10 in 90 days"
8079_1_Y2,SetA, 102 ,35035.610,35035.610,0.109,  0.000,  1.312,  2.046,   3 , 20 , 2 , 0 ,"$10 in 90 days"," $0.50 now"
8079_1_Y2,SetA, 104 ,35038.040,35038.040,0.108,  0.000,  2.124,  3.218,   2 , 11 , 2 , 0 ,"$10 in 30 days"," $5.00 now"
8079_1_Y2,SetA, 107 ,35041.650,35041.650,0.109,  3.593,  0.000,  4.546,   1 , 3 , 1 , 0 ,"$10 in 7 days"," $9.00 now"
8079_1_Y2,SetA, 108 ,35046.590,35046.590,0.108,  0.000,  1.202,  1.921,   3 , 1 , 2 , 0 ,"$10 in 90 days"," $10.00 now"
8079_1_Y2,SetA, 109 ,35048.900,35048.900,0.109,  0.000,  1.265,  1.906,   4 , 5 , 2 , 0 ,"$10 in 180 days"," $8.00 now"
8079_1_Y2,SetA, 110 ,35051.200,35051.200,0.109,  0.000,  0.999,  1.608,   3 , 11 , 2 , 0 ,"$10 in 90 days"," $5.00 now"
8079_1_Y2,SetA, 111 ,35053.200,35053.200,0.108,  0.000,  0.999,  1.640,   2 , 8 , 2 , 0 ,"$10 in 30 days"," $6.50 now"
8079_1_Y2,SetA, 112 ,35055.230,35055.230,0.109,  0.000,  1.734,  2.327,   1 , 15 , 2 , 0 ," $3.00 now","$10 in 7 days"
8079_1_Y2,SetA, 113 ,35057.950,35057.950,0.108,  1.452,  0.000,  2.046,   4 , 15 , 1 , 0 ," $3.00 now","$10 in 180 days"
8079_1_Y2,SetA, 114 ,35060.390,35060.390,0.108,  0.000,  1.374,  2.124,   3 , 16 , 2 , 0 ,"$10 in 90 days"," $2.50 now"
8079_1_Y2,SetA, 115 ,35062.900,35062.900,0.109,  1.671,  0.000,  2.265,   2 , 0 , 1 , 0 ," $10.50 now","$10 in 30 days"
8079_1_Y2,SetA, 120 ,35065.560,35065.560,0.108,  2.608,  0.000,  3.405,   1 , 16 , 1 , 0 ,"$10 in 7 days"," $2.50 now"
8079_1_Y2,SetA, 122 ,35069.360,35069.360,0.109,  0.000,  1.796,  2.515,   1 , 17 , 2 , 0 ," $2.00 now","$10 in 7 days"
8079_1_Y2,SetA, 123 ,35072.260,35072.260,0.108,  0.000,  1.420,  2.248,   2 , 7 , 2 , 0 ,"$10 in 30 days"," $7.00 now"
8079_1_Y2,SetA, 125 ,35074.900,35074.900,0.108,  1.968,  0.000,  2.733,   1 , 5 , 1 , 0 ,"$10 in 7 days"," $8.00 now"
8079_1_Y2,SetA, 126 ,35078.030,35078.030,0.108,  1.390,  0.000,  2.093,   2 , 13 , 1 , 0 ," $4.00 now","$10 in 30 days"
8079_1_Y2,SetA, 127 ,35080.510,35080.510,0.108,  0.000,  1.623,  2.452,   2 , 3 , 2 , 0 ,"$10 in 30 days"," $9.00 now"
8079_1_Y2,SetA, 128 ,35083.360,35083.360,0.109,  0.000,  1.671,  2.359,   4 , 16 , 2 , 0 ,"$10 in 180 days"," $2.50 now"
8079_1_Y2,SetA, 129 ,35086.110,35086.110,0.109,  0.000,  1.405,  2.218,   4 , 12 , 2 , 0 ,"$10 in 180 days"," $4.50 now"
8079_1_Y2,SetA, 131 ,35088.710,35088.710,0.108,  0.000,  1.092,  1.889,   2 , 5 , 2 , 0 ,"$10 in 30 days"," $8.00 now"
8079_1_Y2,SetA, 132 ,35091.000,35091.000,0.108,  2.124,  0.000,  2.874,   0 , 0 , 1 , 0 ," $10.50 now","$10 now"
8079_1_Y2,SetA, 133 ,35094.260,35094.260,0.108,  2.498,  0.000,  3.264,   3 , 13 , 1 , 0 ," $4.00 now","$10 in 90 days"
8079_1_Y2,SetA, 135 ,35097.920,35097.920,0.108,  2.155,  0.000,  2.717,   4 , 6 , 1 , 0 ," $7.50 now","$10 in 180 days"
8079_1_Y2,SetA, 138 ,35101.030,35101.030,0.108,  1.327,  0.000,  1.921,   2 , 9 , 1 , 0 ," $6.00 now","$10 in 30 days"
